,PlayerName,PlayerId
0,Brandon Aubrey,2571750
1,Jason Myers,2553112
2,Justin Tucker,2536340
3,Matt Gay,2562271
4,Cameron Dicker,2568435
5,Harrison Butker,2558245
6,Jake Elliott,2558172
7,Cairo Santos,2550636
8,Brandon McManus,2541556
9,Blake Grupe,2571234
10,Dustin Hopkins,2539227
11,Jason Sanders,2561153
12,Evan McPherson,2565953
13,Greg Zuerlein,2534797
14,Chase McLaughlin,2563203
15,Younghoe Koo,2559205
16,Tyler Bass,2563596
17,Chris Boswell,2550545
18,Jake Moody,2570308
19,Matt Prater,2506677
20,Nick Folk,2507225
21,Wil Lutz,2556601
22,Daniel Carlson,2560993
23,Greg Joseph,2561534
24,Ka'imi Fairbairn,2556521
25,Anders Carlson,2569750
26,Eddy Pineiro,2560842
27,Joey Slye,2563132
28,Riley Patterson,2567013
29,Chad Ryland,2570125
30,Brett Maher,2540243
31,Lucas Havrisik,2569534
32,Graham Gano,71309
33,Randy Bullock,2533444
34,Matt Ammendola,2565555
35,Mike Badgley,2560965
36,Mason Crosby,2507232
37,Austin Seibert,2562729
