,PlayerName,PlayerId
0,Josh Allen,2560955
1,Jalen Hurts,2564832
2,Dak Prescott,2555260
3,Lamar Jackson,2560757
4,Jordan Love,2564007
5,Brock Purdy,2568216
6,Jared Goff,2555334
7,Patrick Mahomes,2558125
8,C.J. Stroud,2569819
9,Baker Mayfield,2560800
10,Tua Tagovailoa,2564499
11,Trevor Lawrence,2566163
12,Sam Howell,2568333
13,Russell Wilson,2532975
14,Matthew Stafford,79860
15,Derek Carr,2543499
16,Justin Herbert,2565045
17,Geno Smith,2539335
18,Justin Fields,2565920
19,Joshua Dobbs,2558167
20,Gardner Minshew,2562796
21,Desmond Ridder,2567256
22,Bryce Young,2569606
23,Joe Burrow,2563722
24,Kirk Cousins,2532820
25,Jake Browning,2562634
26,Kyler Murray,2562382
27,Aidan O'Connell,2570044
28,Zach Wilson,2566391
29,Kenny Pickett,2568162
30,Mac Jones,2566334
31,Will Levis,2569798
32,Joe Flacco,382
33,Tommy DeVito,2570578
34,Tyrod Taylor,2495240
35,Deshaun Watson,2558063
36,Ryan Tannehill,2532956
37,Anthony Richardson,2569864
38,Bailey Zappe,2567961
39,Easton Stick,2562745
40,Taylor Heinicke,2553656
41,Nick Mullens,2558979
42,Jimmy Garoppolo,2543801
43,Daniel Jones,2562299
44,Tyson Bagent,2570467
45,Mitchell Trubisky,2558008
46,Mason Rudolph,2560860
47,Drew Lock,2562305
48,Carson Wentz,2555259
49,Tyler Huntley,2563560
50,Jarrett Stidham,2562746
51,Trevor Siemian,2553457
52,Andy Dalton,2495143
53,Jacoby Brissett,2555261
54,Sam Darnold,2561036
55,C.J. Beathard,2557922
56,Dorian Thompson-Robinson,2569672
57,Davis Mills,2566136
58,PJ Walker,2558904
59,Jeff Driskel,2555262
60,Jameis Winston,2552033
61,Marcus Mariota,2552466
62,Case Keenum,2532888
63,Tim Boyle,2561187
64,Blaine Gabbert,2495441
65,Clayton Tune,2570236
66,Brian Hoyer,81294
67,Brett Rypien,2562718
68,Cooper Rush,2559242
69,Malik Willis,2567667
70,Jaren Hall,2570083
71,Mike White,2560929
72,AJ McCarron,2543497
73,Sean Clifford,2569762
74,Logan Woodside,2560942
