,PlayerName,PlayerId
0,Christian McCaffrey,2557997
1,Travis Etienne,2566157
2,Breece Hall,2568030
3,Raheem Mostert,2553728
4,Joe Mixon,2557976
5,Rachaad White,2568315
6,Kyren Williams,2567862
7,Derrick Henry,2556075
8,Bijan Robinson,2569558
9,Jahmyr Gibbs,2569747
10,James Cook,2567328
11,Saquon Barkley,2560968
12,David Montgomery,2562502
13,Alvin Kamara,2558019
14,Isiah Pacheco,2567808
15,Jerome Ford,2567469
16,Tony Pollard,2562699
17,James Conner,2557978
18,Kenneth Walker III,2568282
19,Gus Edwards,2561324
20,Najee Harris,2566448
21,Brian Robinson,2568348
22,De'Von Achane,2570062
23,D'Andre Swift,2563965
24,Jaylen Warren,2568493
25,Josh Jacobs,2562377
26,Chuba Hubbard,2565899
27,Austin Ekeler,2559169
28,Zack Moss,2563617
29,Javonte Williams,2566049
30,Devin Singletary,2562734
31,Ezekiel Elliott,2555224
32,Jonathan Taylor,2564148
33,Tyjae Spears,2569795
34,Tyler Allgeier,2567232
35,Rhamondre Stevenson,2566343
36,Aaron Jones,2558116
37,Alexander Mattison,2562682
38,Kareem Hunt,2557917
39,AJ Dillon,2563986
40,Antonio Gibson,2565276
41,Khalil Herbert,2565926
42,Justice Hill,2562407
43,Samaje Perine,2558138
44,Ty Chandler,2567907
45,Jaleel McLaughlin,2570942
46,Zach Charbonnet,2570335
47,Roschon Johnson,2569615
48,D'Onta Foreman,2557994
49,Rico Dowdle,2565295
50,Kenneth Gainwell,2566397
51,Dameon Pierce,2567685
52,Miles Sanders,2562722
53,Latavius Murray,2541161
54,Jerick McKinnon,2543715
55,Zamir White,2567883
56,Keaton Mitchell,2570428
57,Emari Demercado,2571065
58,Clyde Edwards-Helaire,2564271
59,Joshua Kelley,2565054
60,Pierre Strong,2567952
61,Jordan Mason,2569257
62,Jamaal Williams,2558204
63,Ameer Abdullah,2552374
64,Royce Freeman,2560733
65,Chase Brown,2569642
66,Michael Carter,2566382
67,Elijah Mitchell,2566538
68,Cam Akers,2564319
69,Matt Breida,2558918
70,Chase Edmonds,2560711
71,Chris Rodriguez Jr.,2570386
72,Kendre Miller,2570149
73,Salvon Ahmed,2565090
74,Jeff Wilson,2560938
75,Kyle Juszczyk,2540230
76,Dalvin Cook,2557991
77,Craig Reynolds,2562834
78,D'Ernest Johnson,2563327
79,Cordarrelle Patterson,2540145
80,Tony Jones,2564679
81,Ty Johnson,2562293
82,Patrick Taylor,2564040
83,Tank Bigsby,2569882
84,Darrynton Evans,2564043
85,Dare Ogunbowale,2559362
86,Nick Chubb,2561021
87,Kevin Harris,2567934
88,Trey Sermon,2566544
89,Melvin Gordon,2552469
90,Damien Harris,2562281
91,Ronnie Rivers,2569185
92,Hunter Luepke,2570882
93,Brandon Bolden,2532797
94,Isaiah Spiller,2568189
95,Trayveon Williams,2562600
96,Michael Burton,2552636
97,Tyler Goodson,2567595
98,C.J. Ham,2556803
99,Boston Scott,2561146
100,Raheem Blackshear,2569477
101,Israel Abanikanda,2570188
102,La'Mical Perine,2564808
103,Gary Brightwell,2566364
104,Keaontay Ingram,2568108
105,Deuce Vaughn,2569699
106,Mike Boone,2561099
107,Emanuel Wilson,2570912
108,J.K. Dobbins,2563548
109,Chris Brooks,2571114
110,Nick Bawden,2560972
111,DeeJay Dallas,2565144
112,Jashaun Corbin,2569125
113,Khari Blasingame,2562869
114,Sean Tucker,2571629
115,Ke'Shawn Vaughn,2565258
116,Adam Prentice,2566872
117,Chris Evans,2565944
118,Rashaad Penny,2560835
119,Leonard Fournette,2557973
120,Eric Gray,2570158
121,Elijah Dotson,2571536
122,Kene Nwangwu,2566313
123,Jake Funk,2566208
124,Bam Knight,2568036
125,Jonathan Ward,2564949
126,Tyrion Davis-Price,2568207
127,Zach Evans,2569963
128,Deon Jackson,2565603
129,Evan Hull,2569846
130,James Robinson,2564223
131,Derrick Gore,2563347
