,PlayerName,PlayerId
0,Sam LaPorta,2569726
1,Evan Engram,2557858
2,Travis Kelce,2540258
3,T.J. Hockenson,2562378
4,George Kittle,2558266
5,David Njoku,2557986
6,Cole Kmet,2563704
7,Trey McBride,2568117
8,Jake Ferguson,2567496
9,Taysom Hill,2558954
10,Dalton Schultz,2560866
11,Dalton Kincaid,2569594
12,Kyle Pitts,2565830
13,Mark Andrews,2560957
14,Dallas Goedert,2560995
15,Jonnu Smith,2558207
16,Logan Thomas,2543767
17,Hunter Henry,2555341
18,Cade Otton,2568312
19,Tyler Conklin,2561027
20,Isaiah Likely,2567283
21,Darren Waller,2552408
22,Tyler Higbee,2555364
23,Chigoziem Okonkwo,2567658
24,Juwan Johnson,2564676
25,Gerald Everett,2557889
26,Tucker Kraft,2569768
27,Pat Freiermuth,2566442
28,Donald Parham,2562394
29,Kylen Granson,2566145
30,Noah Gray,2566178
31,Tanner Hudson,2561215
32,Michael Mayer,2570032
33,Luke Musgrave,2569780
34,Noah Fant,2562383
35,Durham Smythe,2560880
36,Mike Gesicki,2560994
37,Tommy Tremble,2565914
38,Adam Trautman,2564703
39,Colby Parkinson,2565180
40,Mo Alie-Cox,2558832
41,Josh Oliver,2562693
42,Dawson Knox,2562681
43,Brevin Jordan,2566130
44,Daniel Bellinger,2567985
45,Harrison Bryant,2563767
46,Drew Sample,2562720
47,Zach Ertz,2540158
48,Pharaoh Brown,2559018
49,Andrew Ogletree,2567712
50,Austin Hooper,2555415
51,Foster Moreau,2562317
52,Hayden Hurst,2560747
53,Andrew Beck,2562626
54,Connor Heyward,2568138
55,Johnny Mundt,2558875
56,Will Dissly,2561046
57,Jimmy Graham,497236
58,John Bates,2566580
59,Will Mallory,2569849
60,Irv Smith,2562738
61,Stone Smartt,2569227
62,Luke Schoonmaker,2569690
63,Jeremy Ruckert,2568042
64,Luke Farrell,2566160
65,Charlie Kolar,2567280
66,Brock Wright,2567221
67,Davis Allen,2570017
68,Josh Whyle,2569810
69,Jordan Akins,2560951
70,Stephen Sullivan,2565192
71,Robert Tonyan,2559270
72,Lucas Krull,2569092
73,Cole Turner,2568354
74,C.J. Uzomah,2552559
75,Josiah Deguara,2563980
76,Charlie Woerner,2565129
77,Brenton Strange,2569912
78,Ko Kieft,2568306
79,Lawrence Cager,2565492
80,Peyton Hendershot,2568690
81,Quintin Morris,2566641
82,Brycen Hopkins,2564349
83,Ben Sims,2571198
84,Blake Bell,2552478
85,Ian Thomas,2560894
86,Darnell Washington,2570257
87,Reggie Gilliam,2565378
88,Jack Stoll,2567061
89,Payne Durham,2570353
90,John FitzPatrick,2567241
91,Grant Calcaterra,2568063
92,Kenny Yeboah,2565768
93,Julian Hill,2571129
94,Kevin Rader,2561264
95,Nate Adkins,2570930
96,Teagan Quitoriano,2567691
97,Jesper Horsted,2563270
98,Chris Manhertz,2552622
99,Greg Dulcich,2567520
100,James Mitchell,2567556
101,Giovanni Ricci,2563668
102,Nick Muse,2567922
103,Eric Saubert,2558023
104,Trevon Wesco,2562777
105,Ross Dwelley,2561060
106,Tucker Fisk,2569324
107,Cole Fotheringham,2568972
108,Nick Vannett,2555289
