,PlayerName,PlayerId
0,CeeDee Lamb,2563848
1,Tyreek Hill,2556214
2,Amon-Ra St. Brown,2566073
3,DJ Moore,2560813
4,Puka Nacua,2570026
5,Mike Evans,2543468
6,A.J. Brown,2562238
7,Nico Collins,2566127
8,Keenan Allen,2540154
9,Stefon Diggs,2552608
10,Davante Adams,2543495
11,Ja'Marr Chase,2565941
12,Brandon Aiyuk,2565093
13,Deebo Samuel,2562721
14,Michael Pittman,2564136
15,DK Metcalf,2562685
16,Jordan Addison,2570074
17,Amari Cooper,2552487
18,Calvin Ridley,2560854
19,DeAndre Hopkins,2540165
20,DeVonta Smith,2566409
21,Chris Olave,2567973
22,Jakobi Meyers,2562492
23,Jayden Reed,2569765
24,Terry McLaurin,2562489
25,Rashee Rice,2569921
26,Adam Thielen,2541785
27,George Pickens,2568159
28,Justin Jefferson,2564556
29,Garrett Wilson,2568048
30,Chris Godwin,2558105
31,Zay Flowers,2569573
32,Tyler Lockett,2552430
33,Jaylen Waddle,2566292
34,Courtland Sutton,2560888
35,Romeo Doubs,2567586
36,Gabe Davis,2563602
37,Drake London,2567250
38,Brandin Cooks,2543498
39,Tank Dell,2569813
40,Cooper Kupp,2557898
41,Rashid Shaheed,2569110
42,Curtis Samuel,2558066
43,Darius Slayton,2562736
44,Diontae Johnson,2562674
45,Josh Downs,2569861
46,Christian Kirk,2560781
47,Jaxon Smith-Njigba,2570341
48,Tee Higgins,2563731
49,Jerry Jeudy,2563896
50,Tyler Boyd,2555466
51,Marquise Brown,2562379
52,Josh Reynolds,2558194
53,Elijah Moore,2566385
54,Wan'Dale Robinson,2568012
55,K.J. Osborn,2564574
56,Jahan Dotson,2568321
57,Dontayvion Wicks,2569759
58,DJ Chark,2561018
59,Tutu Atwell,2566196
60,Michael Wilson,2570224
61,Khalil Shakir,2567334
62,Odell Beckham Jr.,2543496
63,Josh Palmer,2566502
64,Christian Watson,2567637
65,Noah Brown,2558091
66,Rondale Moore,2566433
67,Kendrick Bourne,2558914
68,Alec Pierce,2567715
69,Demario Douglas,2570119
70,Kalif Raymond,2556661
71,Nelson Agholor,2552600
72,Justin Watson,2560051
73,Quentin Johnston,2570275
74,Michael Gallup,2560735
75,Trey Palmer,2570350
76,Demarcus Robinson,2555478
77,Michael Thomas,2556370
78,Robert Woods,2540169
79,Nick Westbrook-Ikhine,2565477
80,Tre Tucker,2570059
81,Darnell Mooney,2563707
82,Jameson Williams,2567565
83,Jonathan Mingo,2569597
84,Zay Jones,2557863
85,Brandon Johnson,2568738
86,Marvin Mims Jr.,2569717
87,Chris Moore,2555209
88,Rashod Bateman,2565836
89,DeVante Parker,2552409
90,Ced Wilson,2560936
91,A.T. Perry,2570137
92,Greg Dortch,2562645
93,Jalen Tolbert,2567508
94,Brandon Powell,2561261
95,KaVontae Turpin,2569509
96,JuJu Smith-Schuster,2558149
97,Jake Bobo,2571378
98,Allen Lazard,2560787
99,Isaiah Hodgins,2563611
100,Trenton Irwin,2562900
101,Jalin Hyatt,2570152
102,Andrei Iosivas,2569657
103,Allen Robinson,2543509
104,Xavier Gipson,2570614
105,Skyy Moore,2567805
106,Marquez Valdes-Scantling,2560907
107,Braxton Berrios,2560975
108,Calvin Austin III,2568132
109,Jauan Jennings,2565114
110,David Bell,2567460
111,Lil'Jordan Humphrey,2562668
112,Mike Williams,2558846
113,Bo Melton,2568261
114,Mack Hollins,2558262
115,Kadarius Toney,2566376
116,Alex Erickson,2556519
117,Jamal Agnew,2558821
118,Hunter Renfrow,2562712
119,Dyami Brown,2566586
120,KhaDarel Hodge,2561653
121,Scott Miller,2562865
122,Ben Skowronek,2566247
123,Olamide Zaccheaus,2562808
124,Cedric Tillman,2569681
125,Van Jefferson,2564358
126,Deonte Harty,2563155
127,Treylon Burks,2567643
128,Parker Washington,2569888
129,Elijah Higgins,2570068
130,Julio Jones,2495454
131,Ronnie Bell,2570290
132,Tyler Scott,2569630
133,Quez Watkins,2564880
134,Malik Heath,2570518
135,Ihmir Smith-Marsette,2566319
136,Jamison Crowder,2552415
137,Derius Davis,2570272
138,Deven Thompkins,2569314
139,Chase Claypool,2564970
140,Jalen Reagor,2564850
141,Byron Pringle,2560844
142,John Metchie III,2567682
143,Terrace Marshall Jr.,2565902
144,Trent Sherfield,2561272
145,David Moore,2558856
146,Kyle Philips,2567664
147,River Cracraft,2559485
148,Donovan Peoples-Jones,2563803
149,Tyquan Thornton,2567958
150,Ray-Ray McCloud,2560801
151,Parris Campbell,2562495
152,Jalen Guyton,2562844
153,Xavier Hutchinson,2569825
154,Mecole Hardman,2562580
155,Charlie Jones,2569645
156,Sterling Shepard,2555295
157,Laviska Shenault Jr.,2564232
158,Jason Brownlee,2570608
159,Lynn Bowden,2564412
160,Richie James,2560761
161,Tim Jones,2565624
162,Randall Cobb,2495448
163,Samori Toure,2567628
164,Keith Kirkwood,2561224
165,Velus Jones Jr.,2567409
166,Marquise Goodwin,2539964
167,Tylan Wallace,2565857
168,Isaiah McKenzie,2558129
169,Miles Boykin,2562631
170,Zach Pascal,2558877
171,Rakim Jarrett,2571575
172,Jalen Brooks,2569696
173,Devin Duvernay,2563551
174,Simi Fehoko,2566004
175,Equanimeous St. Brown,2560883
176,Chris Conley,2552652
177,Justyn Ross,2568432
178,Tyler Johnson,2565225
179,Robbie Chosen,2556462
180,Keelan Doss,2562393
181,Colton Dowell,2569801
182,Jalen Nailor,2567925
183,DeAndre Carter,2553502
184,Elijah Cooks,2571029
185,Steven Sims,2563033
186,Mike Strachan,2565615
187,Cody Thompson,2562759
188,Laquon Treadwell,2555214
189,Trishton Jackson,2564355
190,Britain Covey,2568066
191,Kayshon Boutte,2570092
192,Willie Snead,2550256
193,Austin Trammell,2566728
194,Malik Taylor,2562995
195,Erik Ezukanma,2567889
196,Collin Johnson,2564202
197,Mason Kinsey,2565459
198,Gunner Olszewski,2563329
199,Antoine Green,2569732
200,Kwamie Lassiter II,2568606
201,D'Wayne Eskridge,2566553
202,Trent Taylor,2558202
